Voltage : 13.01 V | Pitch angle : 59.00° | Yaw angle : -13.50° | Pitch_current : 3.94 A | Yaw_current : 3.39 A
Voltage : 13.77 V | Pitch angle : 59.00° | Yaw angle : -13.50° | Pitch_current : 4.05 A | Yaw_current : 3.42 A
Voltage : 14.15 V | Pitch angle : 59.00° | Yaw angle : -13.50° | Pitch_current : 3.90 A | Yaw_current : 3.20 A
Voltage : 14.96 V | Pitch angle : 59.00° | Yaw angle : -13.50° | Pitch_current : 3.89 A | Yaw_current : 3.39 A
Voltage : 14.45 V | Pitch angle : 59.00° | Yaw angle : -13.50° | Pitch_current : 3.98 A | Yaw_current : 3.49 A
Voltage : 13.95 V | Pitch angle : 59.00° | Yaw angle : -13.50° | Pitch_current : 3.89 A | Yaw_current : 3.36 A
Voltage : 13.49 V | Pitch angle : 59.00° | Yaw angle : -13.50° | Pitch_current : 3.93 A | Yaw_current : 3.45 A
Voltage : 13.09 V | Pitch angle : 59.00° | Yaw angle : -13.25° | Pitch_current : 3.86 A | Yaw_current : 3.38 A
Voltage : 12.51 V | Pitch angle : 59.00° | Yaw angle : -13.25° | Pitch_current : 4.12 A | Yaw_current : 3.27 A
Voltage : 12.71 V | Pitch angle : 59.00° | Yaw angle : -13.00° | Pitch_current : 4.05 A | Yaw_current : 3.35 A
Voltage : 12.96 V | Pitch angle : 59.00° | Yaw angle : -13.00° | Pitch_current : 3.79 A | Yaw_current : 3.38 A
Voltage : 12.76 V | Pitch angle : 59.00° | Yaw angle : -12.75° | Pitch_current : 3.91 A | Yaw_current : 3.36 A
Voltage : 12.66 V | Pitch angle : 59.00° | Yaw angle : -12.75° | Pitch_current : 3.97 A | Yaw_current : 3.26 A
Voltage : 13.54 V | Pitch angle : 59.00° | Yaw angle : -12.75° | Pitch_current : 3.87 A | Yaw_current : 3.26 A
Voltage : 13.32 V | Pitch angle : 59.00° | Yaw angle : -12.75° | Pitch_current : 4.04 A | Yaw_current : 3.47 A
Voltage : 13.92 V | Pitch angle : 59.00° | Yaw angle : -12.75° | Pitch_current : 3.90 A | Yaw_current : 3.31 A
Voltage : 13.34 V | Pitch angle : 59.00° | Yaw angle : -12.75° | Pitch_current : 4.01 A | Yaw_current : 3.32 A
Voltage : 14.96 V | Pitch angle : 59.00° | Yaw angle : -13.00° | Pitch_current : 3.90 A | Yaw_current : 3.27 A
Voltage : 14.13 V | Pitch angle : 59.00° | Yaw angle : -13.00° | Pitch_current : 4.24 A | Yaw_current : 3.43 A
