Voltage : 12.83 V | Pitch angle : 57.25° | Yaw angle : -2.50° | Pitch_current : 3.93 A | Yaw_current : 3.58 A
Voltage : 12.86 V | Pitch angle : 57.25° | Yaw angle : -2.75° | Pitch_current : 3.97 A | Yaw_current : 3.42 A
Voltage : 12.76 V | Pitch angle : 57.25° | Yaw angle : -2.75° | Pitch_current : 3.89 A | Yaw_current : 3.47 A
Voltage : 12.56 V | Pitch angle : 57.25° | Yaw angle : -3.00° | Pitch_current : 3.94 A | Yaw_current : 3.47 A
Voltage : 12.30 V | Pitch angle : 57.25° | Yaw angle : -3.50° | Pitch_current : 3.81 A | Yaw_current : 3.48 A
Voltage : 12.33 V | Pitch angle : 57.25° | Yaw angle : -3.75° | Pitch_current : 3.89 A | Yaw_current : 3.58 A
Voltage : 12.86 V | Pitch angle : 57.25° | Yaw angle : -4.25° | Pitch_current : 3.91 A | Yaw_current : 3.43 A
Voltage : 12.96 V | Pitch angle : 57.25° | Yaw angle : -4.50° | Pitch_current : 3.98 A | Yaw_current : 3.53 A
Voltage : 12.86 V | Pitch angle : 57.25° | Yaw angle : -4.75° | Pitch_current : 4.16 A | Yaw_current : 3.44 A
Voltage : 12.91 V | Pitch angle : 57.25° | Yaw angle : -5.00° | Pitch_current : 3.82 A | Yaw_current : 3.37 A
Voltage : 12.48 V | Pitch angle : 57.25° | Yaw angle : -5.00° | Pitch_current : 4.08 A | Yaw_current : 3.47 A
Voltage : 12.45 V | Pitch angle : 57.25° | Yaw angle : -4.75° | Pitch_current : 3.99 A | Yaw_current : 3.53 A
Voltage : 11.77 V | Pitch angle : 57.25° | Yaw angle : -4.50° | Pitch_current : 3.86 A | Yaw_current : 3.53 A
Voltage : 12.28 V | Pitch angle : 57.25° | Yaw angle : -4.25° | Pitch_current : 3.99 A | Yaw_current : 3.57 A
Voltage : 12.40 V | Pitch angle : 57.25° | Yaw angle : -3.75° | Pitch_current : 3.88 A | Yaw_current : 3.71 A
Voltage : 12.96 V | Pitch angle : 57.25° | Yaw angle : -3.25° | Pitch_current : 3.92 A | Yaw_current : 3.47 A
Voltage : 12.05 V | Pitch angle : 57.25° | Yaw angle : -2.75° | Pitch_current : 4.17 A | Yaw_current : 3.56 A
Voltage : 12.73 V | Pitch angle : 57.25° | Yaw angle : -2.50° | Pitch_current : 3.80 A | Yaw_current : 3.26 A
Voltage : 12.91 V | Pitch angle : 57.25° | Yaw angle : -2.25° | Pitch_current : 4.09 A | Yaw_current : 3.40 A
Voltage : 12.18 V | Pitch angle : 57.25° | Yaw angle : -2.25° | Pitch_current : 3.97 A | Yaw_current : 3.51 A
Voltage : 12.86 V | Pitch angle : 57.25° | Yaw angle : -2.50° | Pitch_current : 4.09 A | Yaw_current : 3.33 A
Voltage : 12.53 V | Pitch angle : 57.25° | Yaw angle : -2.75° | Pitch_current : 4.05 A | Yaw_current : 3.39 A
Voltage : 12.73 V | Pitch angle : 57.25° | Yaw angle : -3.25° | Pitch_current : 3.91 A | Yaw_current : 3.29 A
